id,title,description,availability,condition,price,link,image_link,brand
40284,FILTRO COLADOR DE GRECA 2 LIBRA DE 120 TAZAS,FILTRO COLADOR DE GRECA 2 LIBRA DE 120 TAZAS,out of stock,new,8010 COP,https://estrategias-ltda.com/p-40284-filtro-colador-de-greca-2-libra-de-120-tazas,https://estrategia-web.s3.amazonaws.com/products/40284/GGM Mariposas.jpg-2020-12-16-10:27:33.jpeg,Genérica
40285,FILTRO COLADOR DE GRECA 1/2 LIBRA 30 TAZAS,FILTRO COLADOR DE GRECA 1/2 LIBRA 30 TAZAS,out of stock,new,4500 COP,https://estrategias-ltda.com/p-40285-filtro-colador-de-greca-12-libra-30-tazas,https://estrategia-web.s3.amazonaws.com/products/40285/image-not-found-4a963b95bf081c3ea02923dceaeb3f8085e1a654fc54840aac61a57a60903fef.png-2020-12-15-10:50:02.png,Genérica
40289,MOLDE RECTANGULAR GRANDE 7000 ML WYDA REF: D70,MOLDE RECTANGULAR GRANDE 7000 ML WYDA REF: D70,in stock,new,4590 COP,https://estrategias-ltda.com/p-40289-molde-rectangular-grande-7000-ml-wyda-ref:-d70,https://estrategia-web.s3.amazonaws.com/products/40289/D70.jpg-2020-12-15-14:44:05.jpeg,WYDA
40290,MOLDE RECTANGULAR PEQUEÑO 4000 ML WYDA REF: D40,MOLDE RECTANGULAR PEQUEÑO 4000 ML WYDA REF: D40,in stock,new,2780 COP,https://estrategias-ltda.com/p-40290-molde-rectangular-pequeno-4000-ml-wyda-ref:-d40,https://estrategia-web.s3.amazonaws.com/products/40290/D40.jpg-2020-12-15-14:40:40.jpeg,WYDA
40291,MOLDE OVALADO PEQUEÑO 4000 ML WYDA REF: Y40,MOLDE OVALADO PEQUEÑO 4000 ML WYDA REF: Y40,in stock,new,2900 COP,https://estrategias-ltda.com/p-40291-molde-ovalado-pequeno-4000-ml-wyda-ref:-y40,https://estrategia-web.s3.amazonaws.com/products/40291/Y40.jpg-2020-12-15-14:17:46.jpeg,WYDA
40292,MOLDE OVALADO GRANDE 7000 ML WYDA REF: Y70,MOLDE OVALADO GRANDE 7000 ML WYDA REF: Y70,in stock,new,4450 COP,https://estrategias-ltda.com/p-40292-molde-ovalado-grande-7000-ml-wyda-ref:-y70,https://estrategia-web.s3.amazonaws.com/products/40292/Imagen1.jpg-2020-12-15-14:43:15.jpeg,WYDA
40299,GOMIN COLA 135 Gr,GOMIN COLA 135 Gr,in stock,new,7253.33 COP,https://estrategias-ltda.com/p-40299-gomin-cola-135-gr,https://estrategia-web.s3.amazonaws.com/products/40299/1090101.jpg-2020-12-15-14:55:03.jpeg,productos juliao
40300,GOMIN COLA 80Gr,GOMIN COLA 80Gr,in stock,new,5600 COP,https://estrategias-ltda.com/p-40300-gomin-cola-80gr,https://estrategia-web.s3.amazonaws.com/products/40300/1090102.jpg-2020-12-15-15:01:01.jpeg,productos juliao
40302,TOPIN COLA 8 x 11Cm,TOPIN COLA 8 x 11Cm,in stock,new,4588 COP,https://estrategias-ltda.com/p-40302-topin-cola-8-x-11cm,https://estrategia-web.s3.amazonaws.com/products/40302/1090104.jpg-2020-12-15-15:06:28.jpeg,productos juliao
40303,TOPIN COLA 25 x 13Cm,TOPIN COLA 25 x 13Cm,in stock,new,9120 COP,https://estrategias-ltda.com/p-40303-topin-cola-25-x-13cm,https://estrategia-web.s3.amazonaws.com/products/40303/TOPINCOLA-GRANDE.png-2020-12-15-15:20:54.png,productos juliao
